"COMID","NWIS_ID","Model","Type","Value"
7086109,"05106000","NWIS","yr001",16.1717224046431
7086109,"05106000","NWIS","yr002",25.0980962358763
7086109,"05106000","NWIS","yr005",44.9101490138202
7086109,"05106000","NWIS","yr010",53.9297539506291
7086109,"05106000","NWIS","yr025",61.1527778701533
7086109,"05106000","NWIS","yr050",64.4143126962443
7086109,"05106000","NWIS","yr100",66.5132126603379
7086109,"05106000","NWIS","yr250",68.1848957542115
7086109,"05106000","NWIS","yr500",68.9371687854849
7086109,"05106000","NWM","yr001",1.89068109158118
7086109,"05106000","NWM","yr002",3.33066149103559
7086109,"05106000","NWM","yr005",7.12928014313618
7086109,"05106000","NWM","yr010",9.1108179083494
7086109,"05106000","NWM","yr025",10.8257307407301
7086109,"05106000","NWM","yr050",11.6479449513056
7086109,"05106000","NWM","yr100",12.1991806645472
7086109,"05106000","NWM","yr250",12.6563855219576
7086109,"05106000","NWM","yr500",12.8702361422637
7086109,"05106000","Norm","yr001",88.3087215803411
7086109,"05106000","Norm","yr002",86.7294257710488
7086109,"05106000","Norm","yr005",84.1254587221648
7086109,"05106000","Norm","yr010",83.1061385581509
7086109,"05106000","Norm","yr025",82.2972379705849
7086109,"05106000","Norm","yr050",81.9171478142857
7086109,"05106000","Norm","yr100",81.6590115307697
7086109,"05106000","Norm","yr250",81.4381390746998
7086109,"05106000","Norm","yr500",81.3304834401995
