"COMID","NWIS_ID","Model","Type","Value","exceed1","exceed2","total_count","minyear","maxyear"
7086109,"05106000","NWIS","yrBF",16.1717224046431,66,98,6697,"1999","2018"
7086109,"05106000","NWIS","yr002",25.0980962358763,25,25,6697,"1999","2018"
7086109,"05106000","NWIS","yr005",44.9101490138202,7,0,6697,"1999","2018"
7086109,"05106000","NWIS","yr010",53.9297539506291,6,0,6697,"1999","2018"
7086109,"05106000","NWIS","yr025",61.1527778701533,4,0,6697,"1999","2018"
7086109,"05106000","NWIS","yr050",64.4143126962443,4,0,6697,"1999","2018"
7086109,"05106000","NWIS","yr100",66.5132126603379,4,0,6697,"1999","2018"
7086109,"05106000","NWIS","yr250",68.1848957542115,4,0,6697,"1999","2018"
7086109,"05106000","NWIS","yr500",68.9371687854849,4,0,6697,"1999","2018"
7086109,"05106000","NWM","yrBF",1.89068109158118,322,516,9494,"1993","2018"
7086109,"05106000","NWM","yr002",3.33066149103559,127,179,9494,"1993","2018"
7086109,"05106000","NWM","yr005",7.12928014313618,28,9,9494,"1993","2018"
7086109,"05106000","NWM","yr010",9.1108179083494,8,1,9494,"1993","2018"
7086109,"05106000","NWM","yr025",10.8257307407301,4,0,9494,"1993","2018"
7086109,"05106000","NWM","yr050",11.6479449513056,3,0,9494,"1993","2018"
7086109,"05106000","NWM","yr100",12.1991806645472,3,0,9494,"1993","2018"
7086109,"05106000","NWM","yr250",12.6563855219576,2,0,9494,"1993","2018"
7086109,"05106000","NWM","yr500",12.8702361422637,1,0,9494,"1993","2018"
7086109,"05106000","Norm","yrBF",88.3087215803411,NA,NA,NA,NA,NA
7086109,"05106000","Norm","yr002",86.7294257710488,NA,NA,NA,NA,NA
7086109,"05106000","Norm","yr005",84.1254587221648,NA,NA,NA,NA,NA
7086109,"05106000","Norm","yr010",83.1061385581509,NA,NA,NA,NA,NA
7086109,"05106000","Norm","yr025",82.2972379705849,NA,NA,NA,NA,NA
7086109,"05106000","Norm","yr050",81.9171478142857,NA,NA,NA,NA,NA
7086109,"05106000","Norm","yr100",81.6590115307697,NA,NA,NA,NA,NA
7086109,"05106000","Norm","yr250",81.4381390746998,NA,NA,NA,NA,NA
7086109,"05106000","Norm","yr500",81.3304834401995,NA,NA,NA,NA,NA
